"res_entry_id","political_function"
"CH_Badoux_Henri_1909__1","NT_LE-LH_T3_NA_01"
"CH_Badran_Jacqueline_1961__1","NT_LE-LH_T3_NA_01"
"CH_Baechtold_Gilbert_1921__1","NT_LE-LH_T3_NA_01"
"CH_Baechtold_Jakob_1905__1","NT_LE-LH_T3_NA_01"
"CH_Baechtold_Jakob_1905__2","NT_LE-LH_T3_NA_01"
"CH_Baechtold_Kurt_1918__1","NT_LE-UH_T3_NA_01"
"CH_Baenziger_Marlies_1960__1","NT_LE-LH_T3_NA_01"
"CH_Baer_Rosmarie_1947__1","NT_LE-LH_T3_NA_01"
"CH_Baerlocher_Remigius_1915__1","NT_LE-LH_T3_NA_01"
"CH_Baerlocher_Thomas_1956__1","NT_LE-LH_T3_NA_01"
"CH_Baertschi_Ernst_1882__1","NT_LE-LH_T3_NA_01"
"CH_Baettig_Dominique_1953__1","NT_LE-LH_T3_NA_01"
"CH_Baeumle_Martin_1964__1","NT_LE-LH_T3_NA_01"
"CH_Baeumlin_Richard_1927__8","NT_LE-LH_T3_NA_01"
"CH_Baeumlin_Ursula_1938__1","NT_LE-LH_T3_NA_01"
"CH_Baggi_Giovanni_1929__12","NT_LE-LH_T3_NA_01"
"CH_Ballmoos_Walter_1911__1","NT_LE-LH_T3_NA_01"
"CH_Banga_Boris_1949__1","NT_LE-LH_T3_NA_01"
"CH_Bangerter_Kaethi_1937__1","NT_LE-LH_T3_NA_01"
"CH_Barazzone_Guillaume_1982__1","NT_LE-LH_T3_NA_01"
"CH_Barben_Ernst_1899__1","NT_LE-LH_T3_NA_01"
"CH_Barchi_Pier_1929__1","NT_LE-LH_T3_NA_01"
"CH_Barras_Louis_1917__1","NT_LE-LH_T3_NA_01"
"CH_Barrelet_Jean_1902__1","NT_LE-UH_T3_NA_01"
"CH_Barrile_Angelo_1976__1","NT_LE-LH_T3_NA_01"
"CH_Barthassat_Luc_1960__1","NT_LE-LH_T3_NA_01"
"CH_Basler_Konrad_1929__1","NT_LE-LH_T3_NA_01"
"CH_Baudat_Maurice_1888__1","NT_LE-LH_T3_NA_01"
"CH_Bauder_Robert_1916__1","NT_LE-LH_T3_NA_01"
"CH_Baudere_Raymond_1920__1","NT_LE-LH_T3_NA_01"
"CH_Bauer_Albert_1911__1","NT_LE-LH_T3_NA_01"
"CH_Bauer_Monique_1922__1","NT_LE-UH_T3_NA_01"
"CH_Bauer_Philippe_1962__1","NT_LE-LH_T3_NA_01"
"CH_Baumann_Isidor_1955__1","NT_LE-UH_T3_NA_01"
"CH_Baumann_Josef_1942__1","NT_LE-LH_T3_NA_01"
"CH_Baumann_Ruedi_1947__1","NT_LE-LH_T3_NA_01"
"CH_Baumann_Stephanie_1951__1","NT_LE-LH_T3_NA_01"
"CH_Baumann_Walter_1914__1","NT_LE-LH_T3_NA_01"
"CH_Baumberger_Hans_1932__1","NT_LE-UH_T3_NA_01"
"CH_Baumberger_Hans_1932__2","NT_LE-LH_T3_NA_01"
"CH_Baumberger_Peter_1942__1","NT_LE-LH_T3_NA_01"
"CH_Baumgartner_David_1908__1","NT_LE-LH_T3_NA_01"
"CH_Baumgartner_Emil_1905__1","NT_LE-LH_T3_NA_01"
"CH_Baumgartner_Franz_1926__1","NT_LE-LH_T3_NA_01"
"CH_Beck_Carl_1894__1","NT_LE-LH_T3_NA_01"
"CH_Beck_Marcel_1908__1","NT_LE-LH_T3_NA_01"
"CH_Beck_Serge_1955__1","NT_LE-LH_T3_NA_01"
"CH_Beerli_Christine_1953__1","NT_LE-UH_T3_NA_01"
"CH_Begle_Claude_1949__1","NT_LE-LH_T3_NA_01"
