sep=,
"parliament_id","leg_period_start","leg_period_end","level","country_abb","region_abb","leg_period","assembly_name","assembly_abb","coalition_parties","previous_parliament","next_parliament","parliament_size","election_date","election_type"
"CA_NT-HC_1997","22sep1997","22oct2000","NT","CA",NA,36,"House of Commons","HC",NA,"CA_NT-HC_1994","CA_NT-HC_2001",301,"02jun1997","regular"
"CA_NT-HC_2001","29jan2001","23may2004","NT","CA",NA,37,"House of Commons","HC",NA,"CA_NT-HC_1997","CA_NT-HC_2004",301,"27nov2000","early"
"CA_NT-HC_2004","04oct2004","29nov2005","NT","CA",NA,38,"House of Commons","HC",NA,"CA_NT-HC_2001","CA_NT-HC_2006",308,"28jun2004","regular"
"CA_NT-HC_2006","03apr2006","07sep2008","NT","CA",NA,39,"House of Commons","HC",NA,"CA_NT-HC_2004","CA_NT-HC_2008",308,"23jan2006","early"
"CA_NT-HC_2008","18nov2008","26mar2011","NT","CA",NA,40,"House of Commons","HC",NA,"CA_NT-HC_2006","CA_NT-HC_2011",308,"14oct2008","early"
"CA_NT-HC_2011","02jun2011","02aug2015","NT","CA",NA,41,"House of Commons","HC",NA,"CA_NT-HC_2008","CA_NT-HC_2015",308,"02may2011","early"
"CA_NT-HC_2015","03dec2015","11sep2019","NT","CA",NA,42,"House of Commons","HC",NA,"CA_NT-HC_2011","CA_NT-HC_2019",338,"19oct2015","regular"
"CA_NT-HC_2019","05dec2019","15aug2021","NT","CA",NA,43,"House of Commons","HC",NA,"CA_NT-HC_2015","CA_NT-HC_2021",338,"21oct2019","regular"
"CA_NT-HC_2021","22nov2021","23mar2025","NT","CA",NA,44,"House of Commons","HC",NA,"CA_NT-HC_2019","CA_NT-HC_2025",338,"20sep2021","early"
"CA_NT-HC_2025","26may2025",NA,"NT","CA",NA,45,"House of Commons","HC",NA,"CA_NT-HC_2021",NA,343,"28apr2025","early"
