"parliament_id","snapshot_day","pers_id","parliament_size"
"NL_NT-TK_1901",1901-09-18,"NL_vanKarnebeek_Abraham_1836",100
"NL_NT-TK_1901",1901-09-18,"NL_vanKempen_Antonius_1843",100
"NL_NT-TK_1901",1901-09-18,"NL_vanKol_Henri_1852",100
"NL_NT-TK_1901",1901-09-18,"NL_vanLoeben_Alexander_1847",100
"NL_NT-TK_1901",1901-09-18,"NL_vanNispen_Octaaf_1867",100
"NL_NT-TK_1901",1901-09-18,"NL_vanRaalte_Eduard_1841",100
"NL_NT-TK_1901",1901-09-18,"NL_vanSasse_Alexander_1852",100
"NL_NT-TK_1901",1901-09-18,"NL_vanStyrum_Floris_1855",100
"NL_NT-TK_1901",1901-09-18,"NL_vanVeen_Rienk_1865",100
"NL_NT-TK_1901",1901-09-18,"NL_vanVliet_Pieter_1858",100
"NL_NT-TK_1901",1901-09-18,"NL_vanVlijmen_Bernardus_1843",100
"NL_NT-TK_1901",1901-09-18,"NL_vanWichen_Franciscus_1855",100
"NL_NT-TK_1901",1901-09-18,"NL_vanWijck_Stephanus_1850",100
"NL_NT-TK_1901",1901-09-18,"NL_Verheij_Joor_1851",100
"NL_NT-TK_1901",1901-09-18,"NL_Willinge_Jan_1849",100
"NL_NT-TK_1901",1901-09-18,"NL_Zijlma_Geuchien_1842",100
"NL_NT-TK_1905",1905-09-20,"NL_Aalberse_Piet_1871",100
"NL_NT-TK_1905",1905-09-20,"NL_Arts_Antoine_1845",100
"NL_NT-TK_1905",1905-09-20,"NL_baronMichiels_Louis_1855",100
"NL_NT-TK_1905",1905-09-20,"NL_baronvanDedem_Alexander_1838",100
"NL_NT-TK_1905",1905-09-20,"NL_baronvanderBorch_Allard_1842",100
"NL_NT-TK_1905",1905-09-20,"NL_baronvanHeemstra_Schelto_1842",100
"NL_NT-TK_1905",1905-09-20,"NL_baronvanWassenaer_Otto_1856",100
"NL_NT-TK_1905",1905-09-20,"NL_baronvanWijnbergen_Antonius_1869",100
"NL_NT-TK_1905",1905-09-20,"NL_Beckers_Jean_1860",100
"NL_NT-TK_1905",1905-09-20,"NL_Blooker_Cornelis_1852",100
"NL_NT-TK_1905",1905-09-20,"NL_Bolsius_Frans_1869",100
"NL_NT-TK_1905",1905-09-20,"NL_Bos_Dirk_1862",100
"NL_NT-TK_1905",1905-09-20,"NL_Brants_Maurits_1853",100
"NL_NT-TK_1905",1905-09-20,"NL_Brummelkamp_Anthony_1839",100
"NL_NT-TK_1905",1905-09-20,"NL_deBeaufort_Willem_1845",100
"NL_NT-TK_1905",1905-09-20,"NL_deBoer_Klaas_1852",100
"NL_NT-TK_1905",1905-09-20,"NL_deKlerk_Dirk_1852",100
"NL_NT-TK_1905",1905-09-20,"NL_deRam_Lambert_1842",100
"NL_NT-TK_1905",1905-09-20,"NL_deRidder_Nicolaas_1848",100
"NL_NT-TK_1905",1905-09-20,"NL_deSavornin_Alexander_1837",100
"NL_NT-TK_1905",1905-09-20,"NL_deStuers_Victor_1843",100
"NL_NT-TK_1905",1905-09-20,"NL_deWaal_Jan_1852",100
"NL_NT-TK_1905",1905-09-20,"NL_Dolk_Willem_1853",100
"NL_NT-TK_1905",1905-09-20,"NL_Drucker_Hendrik_1857",100
"NL_NT-TK_1905",1905-09-20,"NL_Duymaer_Lodewijk_1865",100
"NL_NT-TK_1905",1905-09-20,"NL_Duynstee_Theodorus_1858",100
"NL_NT-TK_1905",1905-09-20,"NL_Eland_Kornelis_1838",100
"NL_NT-TK_1905",1905-09-20,"NL_Ferf_Petrus_1854",100
"NL_NT-TK_1905",1905-09-20,"NL_Fruytier_Petrus_1852",100
"NL_NT-TK_1905",1905-09-20,"NL_Goeman_Hendrik_1847",100
"NL_NT-TK_1905",1905-09-20,"NL_graafvanBylandt_Frederik_1841",100
"NL_NT-TK_1905",1905-09-20,"NL_graafvanLimburg_Otto_1855",100
"NL_NT-TK_1905",1905-09-20,"NL_Heemskerk_Theo_1852",100
"NL_NT-TK_1905",1905-09-20,"NL_Hennequin_Pieter_1851",100
"NL_NT-TK_1905",1905-09-20,"NL_Hubrecht_Henri_1844",100
"NL_NT-TK_1905",1905-09-20,"NL_Hugenholtz_Frederik_1868",100
"NL_NT-TK_1905",1905-09-20,"NL_IJzerman_Jan_1851",100
"NL_NT-TK_1905",1905-09-20,"NL_Jannink_Gerrit_1865",100
"NL_NT-TK_1905",1905-09-20,"NL_Jansen_Joannes_1840",100
"NL_NT-TK_1905",1905-09-20,"NL_Janssen_Francois_1871",100
"NL_NT-TK_1905",1905-09-20,"NL_Ketelaar_Theo_1864",100
"NL_NT-TK_1905",1905-09-20,"NL_Kolkman_Maximilien_1853",100
"NL_NT-TK_1905",1905-09-20,"NL_Koolen_Dionysius_1871",100
"NL_NT-TK_1905",1905-09-20,"NL_Lieftinck_Franciscus_1835",100
