sep=,
"parliament_id","leg_period_start","leg_period_end","level","country_abb","region_abb","leg_period","assembly_name","assembly_abb","coalition_parties","previous_parliament","next_parliament","parliament_size","election_date","election_type"
"US_NT-SE_1827","04mar1827","03mar1829","NT","US",NA,20,"Senate","SE",NA,"US_NT-SE_1825","US_NT-SE_1829",48,NA,"regular"
"US_NT-HR_1829","04mar1829","03mar1831","NT","US",NA,21,"House of Representatives","HR",NA,"US_NT-HR_1827","US_NT-HR_1831",213,NA,"regular"
"US_NT-SE_1829","04mar1829","03mar1831","NT","US",NA,21,"Senate","SE",NA,"US_NT-SE_1827","US_NT-SE_1831",48,NA,"regular"
"US_NT-HR_1831","04mar1831","03mar1833","NT","US",NA,22,"House of Representatives","HR",NA,"US_NT-HR_1829","US_NT-HR_1833",213,NA,"regular"
"US_NT-SE_1831","04mar1831","03mar1833","NT","US",NA,22,"Senate","SE",NA,"US_NT-SE_1829","US_NT-SE_1833",48,NA,"regular"
"US_NT-HR_1833","04mar1833","03mar1835","NT","US",NA,23,"House of Representatives","HR",NA,"US_NT-HR_1831","US_NT-HR_1835",240,NA,"regular"
"US_NT-SE_1833","04mar1833","03mar1835","NT","US",NA,23,"Senate","SE",NA,"US_NT-SE_1831","US_NT-SE_1835",48,NA,"regular"
"US_NT-HR_1835","04mar1835","03mar1837","NT","US",NA,24,"House of Representatives","HR",NA,"US_NT-HR_1833","US_NT-HR_1837",242,NA,"regular"
"US_NT-SE_1835","04mar1835","03mar1837","NT","US",NA,24,"Senate","SE",NA,"US_NT-SE_1833","US_NT-SE_1837",52,NA,"regular"
"US_NT-HR_1837","04mar1837","03mar1839","NT","US",NA,25,"House of Representatives","HR",NA,"US_NT-HR_1835","US_NT-HR_1839",242,NA,"regular"
"US_NT-SE_1837","04mar1837","03mar1839","NT","US",NA,25,"Senate","SE",NA,"US_NT-SE_1835","US_NT-SE_1839",52,NA,"regular"
"US_NT-HR_1839","04mar1839","03mar1841","NT","US",NA,26,"House of Representatives","HR",NA,"US_NT-HR_1837","US_NT-HR_1841",242,NA,"regular"
"US_NT-SE_1839","04mar1839","03mar1841","NT","US",NA,26,"Senate","SE",NA,"US_NT-SE_1837","US_NT-SE_1841",52,NA,"regular"
"US_NT-HR_1841","04mar1841","03mar1843","NT","US",NA,27,"House of Representatives","HR",NA,"US_NT-HR_1839","US_NT-HR_1843",242,NA,"regular"
"US_NT-SE_1841","04mar1841","03mar1843","NT","US",NA,27,"Senate","SE",NA,"US_NT-SE_1839","US_NT-SE_1843",52,NA,"regular"
"US_NT-HR_1843","04mar1843","03mar1845","NT","US",NA,28,"House of Representatives","HR",NA,"US_NT-HR_1841","US_NT-HR_1845",223,NA,"regular"
"US_NT-SE_1843","04mar1843","03mar1845","NT","US",NA,28,"Senate","SE",NA,"US_NT-SE_1841","US_NT-SE_1845",54,NA,"regular"
"US_NT-HR_1845","04mar1845","03mar1847","NT","US",NA,29,"House of Representatives","HR",NA,"US_NT-HR_1843","US_NT-HR_1847",228,"05nov1844","regular"
